,summary,access,interaction,house_rules,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,square_feet,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,requires_license,instant_bookable,cancellation_policy,reviews_per_month
11,"Quiet second floor bedroom sleeps one in comfort, Includes back yard view, semi-private full bath & use of first floor living area, front porch & garden. Great plus: free street parking or a short walk to public transport into Boston/Cambridge.","Guests are welcome to relax in the first floor living area, porch and garden in addition to their own room. Kitchen use by arrangement only.","I'm available for guests as work allows. I'm happy to chat, recommend site and activities or let you discover Boston on your own during your stay. ","My ideal guests would be warm, friendly, and respectful of sharing my home and it's rhythms. I am allergic to cigarettes, so no smoking please, not even in the yard. A quiet homecoming is much appreciated at the end of the evening's nightlife.",2013-09-14,within an hour,100%,89%,t,2,Roslindale,Roslindale,,t,House,Private room,1,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Cat(s),Heating,Washer,Dryer,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,57.0,,$40.00,1,$0.00,1,1125,17,94.0,f,f,flexible,0.48
12,"Clean, sunny 2 bedroom in amazing Roslindale Village, 6 miles from downtown Boston . Recently remodeled condo offering everything you need for your stay. Located steps from the Arnold Arboretum and Roslindale Village.",,,"- One of the bedroom closets is not accessible to guests - Please be mindful of the neighbors, quiet time after 10PM  - Check-out time is at 11AM on the day of your departure.  - If you're going to smoke outside, please clean up after yourself and do not throw cigarette butts on the ground - The refrigerator and cabinets are available for your use but please do not take food items unless explicitly permitted",2014-03-31,within a few hours,100%,100%,f,2,Roslindale,Roslindale,,t,Condominium,Entire home/apt,4,1.0,2.0,2.0,Real Bed,"{""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,93.0,,$40.00,1,$0.00,1,1125,1,100.0,f,t,flexible,0.64
13,"My place is close to Public Transportation. The train station to downtown Boston is a short 1 minute walk from my house. You’ll love my place because of the neighborhood, the comfy bed, the light, and the coziness. My place is good for couples, solo adventurers, business travelers, and families (with kids).",,,,2016-02-04,within an hour,100%,97%,f,1,Roslindale,Roslindale,,t,Apartment,Entire home/apt,5,1.0,2.0,3.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,150.0,,$50.00,5,$30.00,2,21,12,97.0,f,f,moderate,4.93
14,"Enjoy the full space of our home as you explore some of the more trendy and hip parts of Boston. Close to Jamaica Plain, and steps to Roslindale Square, this warm abode offers the convenience to Downtown, yet nestled off the beaten track.        ",,,,2013-10-27,within a day,75%,100%,f,1,Roslindale,Roslindale,,t,House,Entire home/apt,2,1.5,2.0,2.0,Real Bed,"{Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",,145.0,$500.00,$150.00,2,$35.00,3,1125,7,91.0,f,f,moderate,0.56
15,Fresh home roasted coffee from around the world awaits you each morning along with a thick slice of my freshly baked artisan bread. This alcove room is comfortable for any length of stay with some stays up to 6 months. Excellent for those relocating.,You can feel free to use almost anything here. Feel free to cook in the kitchen and store food in the refrigerator. The local farmer's market runs June through November where you can buy the freshest of local produce and many other products. If you have luggage that is in your way I can store that in the attic.,"This is a shared living experience. I live and work here. I spend all of my time in my office thus it affords the guest a sense of privacy to watch TV or some other sort of entertainment. For the most part you will have the entire front of the house to yourself. If you are here for a longer stay we might even share takeout, dinner, or go to a movie.","Arrival time can be no later than 9:00PM unless pre-arranged. No visitors allowed at anytime without prior approval. Overnight guests are not allowed at all. There is no room for guests. Don't ask. No smoking. 11:00 PM is quiet time while watching private room tv is acceptable. No eating meals in the room. It's too small, you'll see what I'm saying, and there's a nice dining table for that. Small snacks are fine. If you cook and/or uses dishes and utensils then please clean them so someone else can use them. Do not leave anything uncleaned in the sink overnight. Shared areas of the home are expected to be maintained after you use them. There are no room services provided other than normal cleaning. Closet and dresser space is provided for your clothes.",2011-09-18,within an hour,100%,79%,f,2,Roslindale,Roslindale,,t,Apartment,Private room,1,0.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Breakfast,Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",,60.0,,,1,$0.00,1,365,70,96.0,f,t,strict,1.16
16,Located along public transportation with plenty of on street parking.,Private enterance for guest.,"Friendly, experienced, helpful and on site. Airport pick up for a nominal fee.","Absolutely no smoking in the building, handling of art work or damaging personal property. All additional charges for movie rental are the responsibility of the renter. Shower before entering the hot tub. No glass or food in the hot tub. Turn off all lights and appliances when leaving the unit.",2011-03-09,within a few hours,100%,100%,f,1,Roslindale,Roslindale,,t,House,Private room,4,1.0,1.0,3.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Hot Tub"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher""}",,165.0,,$50.00,3,$15.00,3,1125,1,100.0,f,f,flexible,1.0
17,"Clean, sunny 1 bedroom in amazing Roslindale Village, 6 miles from downtown Boston. Recently remodeled condo offering everything you need for your stay. Located steps from the Arnold Arboretum and Roslindale Village.",,,"- Please be mindful of the neighbors, quiet time after 10PM  - Check-out time is at 11AM on the day of your departure.  - If you're going to smoke outside, please clean up after yourself and do not throw cigarette butts on the ground - The refrigerator and cabinets are available for your use but please do not take food items unless explicitly permitted",2014-03-31,within a few hours,100%,100%,f,2,Roslindale,Roslindale,,t,Condominium,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,75.0,,$20.00,1,$15.00,1,1125,1,100.0,f,t,flexible,0.37
19,"A handsome colonial house set on a tranquil side street. Fully furnished with spacious rooms. Easy commute to Downtown with nearest bus stop only a 5 minute walk away. Near restaurants, grocery and shopping arcade. Laundry and WiFi available.",,,"LAUNDRY - Laundry can be done by the visitor before 10 pm, preferably on weekends. - Please provide your own detergent and fabric conditioner. Keep the machine clean and remember to clean the filter before and after use. - Please ask hosts to teach you how to operate the machines if you are not familiar with it. - Please limit your load and washes as not to overload the machine. - One wash per week will be ideal. HOUSEKEEPING - The bedrooms shall be kept clean and tidy by the visitor. - Please be respectful of others and keep the bathroom clean – do not leave dirty clothes and trash lying around. - Each visitor is responsible for cleaning their own dirty dishes and throwing their own trash in the garbage bin outside. - Please provide your own toiletries such as bath soap, shampoo and toothpaste.  KITCHEN USE  - We are sharing our kitchen and kitchenware stuff. Please make sure to take care of them and make sure you clean, dry and put them back where you found them. If you are cooking, ",2015-05-30,within a day,100%,100%,t,3,,Roslindale,,f,House,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}",,49.0,,,1,$10.00,5,1125,4,95.0,f,f,strict,0.29
20,"My home is a villa in one of the friendliest, and safest  neighborhood of Boston.   The room  has a window overlooking  the yard and street.   All utilities and WIFI are included. Shared bathroom /kitchen.   The bus line is less than a minute walk.","Guest has access to everything in the house, Kitchen, bathrooms,  living room, dining room, washer and drier.",I enjoy the company of others and would be happy to carry a conversation with my guest. To me a stranger is a friend I haven't met yet.,"No smoking, No pets.  No shoes in the house. Visitors are permitted in the common area only. Please use the dining room to enjoy your meals. Also  refrain using an electronic device while having your meal. Quiet time between 10:00pm-6:00am.",2014-03-17,within a few hours,100%,94%,t,3,Roslindale,Roslindale,,t,Villa,Private room,1,2.5,1.0,1.0,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,40.0,,,1,$0.00,2,1125,31,99.0,f,f,flexible,1.24
21,"Lovely sun-filled private guest cottage set on single family landscaped lot. The cottage is newly renovated and furnished for your comfort.  It provides a private, peaceful setting just 6.5 miles from downtown Boston.  We will be happy to help you during your stay if needed. A guide book for the area will be available to you upon your arrival. We think this listing is destined to be a Best of Boston AirBNB! Come experience why.",Unload your luggage from the driveway and find ample free street parking just around the corner.  The access code for the door will be given a few days before your arrival and there is a back-up key if needed.  We will try to greet and orient all guests upon arrival.,You can be completely independent in this truly exceptional property. We will be happy to assist you if needed. We want you to have a special visit in Roslindale/Boston.,"- No smoking or open flames on the property - Please respect the peace and privacy of our neighbors  - Access Roslindale Urban Wild from street - do not jump backyard fence - Max of 3 occupants, please!",2016-05-28,within an hour,100%,100%,f,1,Roslindale,Roslindale,,t,House,Entire home/apt,3,1.0,0.0,2.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,120.0,$150.00,$50.00,3,$0.00,2,6,16,98.0,f,t,moderate,5.93
22,"High atop Metropolitan Hill. Expansive view. No buildings higher, sleep with the windows uncovered. Experience sunrise like you were sleeping on the beach. Home roasted exotic coffee and fresh baked bread greet you in the morning. A travel adventure.",You can feel free to use almost anything here. Feel free to cook in the kitchen and store food in the refrigerator. The local farmer's market runs June through November where you can buy the freshest of local produce and many other products. If you have a lot of luggage and are here long enough I can store things out of the way in the attic.,"This is a shared living experience. I live and work here. I spend most of my time in my office thus it affords the guest a sense of privacy to watch TV or some other sort of entertainment. Your room will offer you a sense of privacy to be comfortable. If you are here for a longer stay we might even share takeout, dinner, or go to a movie.","Arrival time can be no later than 10:00PM. No visitors allowed at anytime without prior approval. Overnight guests are only allowed as part of the reservation. Never more than 2 people in this room.  No smoking. 11:00 PM is quiet time while watching private room tv is acceptable. No eating meals in the room. It's too small, you'll see what I'm saying, and there's a nice dining table for that. Small snacks are fine. If you cook and/or uses dishes and utensils then please clean them so someone else can use them. Do not leave anything uncleaned in the sink overnight. Shared areas of the home are expected to be maintained after you use them. There are no room services provided other than normal cleaning. Closet and dresser space is provided for your clothes.",2011-09-18,within an hour,100%,79%,f,2,Roslindale,Roslindale,,t,Apartment,Private room,2,0.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Breakfast,Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,70.0,,,1,$10.00,1,365,38,98.0,f,t,strict,0.63
23,Three bedroom in Boston's Roslindale neighborhood - spacious backyard and large playroom make it incredibly kid-friendly. Off-street parking. Bus brings you to Forest Hills T Station on the Orange Line; walk to commuter rail and shops/restaurants.,,,,2014-10-29,within a day,100%,63%,f,1,,Roslindale,,f,House,Entire home/apt,8,1.0,3.0,5.0,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Shampoo}",,150.0,$150.00,$100.00,6,$0.00,3,1125,21,88.0,f,f,flexible,1.58
24,"Our spacious, modern, immaculate town home is located in Roslindale, MA,  a fun and family friendly neighborhood of Boston. We are a perfect option for families with small children or those without who want to stay in a large, fully stocked home.","Guests will have access to bath and bed linens, a fully stocked kitchen, BBQ, internet, and laundry facilities, as well as any toys/books your kids may enjoy.",We will not be present during your stay but will always be reachable via phone for help/advice/suggestions and will have local relatives in the area to assist with anything that requires immediate attention.,We take great care of our home and expect you to do the same.  Smoking is not permitted anywhere on the property.,2015-02-28,,,,f,1,Roslindale,Roslindale,,t,House,Entire home/apt,5,3.5,4.0,3.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials}",,175.0,$500.00,$100.00,1,$0.00,14,1125,1,100.0,f,f,moderate,0.07
