,summary,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,square_feet,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,requires_license,instant_bookable,cancellation_policy,reviews_per_month
12,"Spacious apt in popular Seattle neighborhood.  1 block to bus and easy access by car to groceries, gas, freeway, stadiums, cruise ships.  Well stocked, quiet and restful space for your vacation; sorry, no accommodations for parties.",2014-08-13,within an hour,100%,100%,t,1.0,,West Queen Anne,Queen Anne,t,Apartment,Entire home/apt,4,1.0,2.0,3.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",,245.0,$300.00,$95.00,1,$0.00,3,14,13,98.0,f,f,moderate,0.92
13,"Enjoy our amazing, updated & modern design cottage, located blocks from many of Seattle's best sites! The house is surrounded by million $ homes w/ easy access to downtown. Located on Queen Anne Hill, one of Seattle's most sought-after neighborhoods.",2015-01-10,within an hour,100%,100%,f,1.0,Queen Anne,West Queen Anne,Queen Anne,t,House,Entire home/apt,5,1.0,2.0,3.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",,165.0,$400.00,$85.00,4,$20.00,2,1125,3,100.0,f,f,strict,3.0
14,"Stunning Designsponge featured 6 bed, 3.75 bath, 4,000 sq ft home in the city's BEST location w/ free parking for about the same price as a decent hotel in Seattle. Walk to all of Queen Anne, or drive 5 min to downtown- this is where you want to be!",2014-10-10,within an hour,100%,100%,f,1.0,Queen Anne,West Queen Anne,Queen Anne,t,House,Entire home/apt,16,3.5,6.0,15.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",""Suitable for Events"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",,461.0,"$1,500.00",$300.00,8,$50.00,3,29,18,98.0,f,t,strict,2.65
15,"This home is full of light, art and comfort. 5 mins to Downtown, 1 min to coffee.",2012-07-18,within a few hours,100%,100%,f,1.0,,West Queen Anne,Queen Anne,f,House,Entire home/apt,5,1.0,2.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials}",,109.0,,$89.00,1,$0.00,3,15,1,80.0,f,f,strict,0.73
16,"Master bedroom suite with 1/4 bath & kitchenette hidden within lovely Kinnear Park. Mere blocks from Key Arena & Space Needle. Short ride to Pike Place, stadiums, & convention center. Enjoy the quiet, or a quick walk to tons of bars, restaurants, & shops!",2013-10-16,within an hour,100%,100%,f,1.0,Queen Anne,West Queen Anne,Queen Anne,t,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{Internet,""Wireless Internet"",""Pets Allowed"",Breakfast,""Pets live on this property"",Cat(s),Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo}",,66.0,$100.00,$35.00,1,$25.00,1,10,84,95.0,f,f,moderate,4.55
17,"Beautiful private entrance garden suite overlooking Elliot Bay. Off street covered parking available, convenient to public transportation.  Close to Seattle Center, SPU, Whole Foods, Pikes Mkt. Complimentary meal at local cafe/bar - The Sitting Room.",2014-12-31,within an hour,100%,100%,t,1.0,Queen Anne,West Queen Anne,Queen Anne,t,House,Private room,2,1.0,1.0,1.0,Real Bed,"{""Wireless Internet"",""Free Parking on Premises"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo}",,99.0,$100.00,$15.00,1,$0.00,2,14,45,98.0,f,t,moderate,4.58
19,"This  home built in 1909.  It has 5 bedrooms and 3.5 baths.  Perfect for family groups.  All modern conveniences.  It is only one block from the main street filled with restaurants, coffee shops and 4 BLOCKS TO KERRY PARK'S FAMOUS FIREWORKS DISPLAY.",2015-05-05,,,,f,1.0,Queen Anne,West Queen Anne,Queen Anne,t,House,Entire home/apt,10,3.5,5.0,5.0,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),Cat(s),""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Shampoo}",,700.0,$500.00,$250.00,1,$0.00,3,30,5,85.0,f,f,flexible,0.82
20,"This clean and comfortable one bedroom sits right across from Kinnear Park in Seattle's lower Queen Anne neighborhood. Walk to Seattle Center, the SAM Sculpture Park, or just sit on the deck and enjoy the view of Puget Sound and downtown Seattle.",2014-04-09,within a few hours,100%,100%,f,1.0,,West Queen Anne,Queen Anne,f,Condominium,Entire home/apt,1,1.0,1.0,1.0,Real Bed,"{Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Elevator in Building"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}",,110.0,,,1,$0.00,1,1125,1,100.0,f,f,flexible,1.0
21,"Relax in your own private finished basement space in a 1925 Craftsman in Upper Queen Anne, one of Seattle's most historic and lively neighborhoods.  Just 2 blocks from many trendy restaurants, yoga, shopping, etc.  Just a 15 minute bus ride to  Downtown, Fremont and Amazon / S. Lake Union by bus.",2014-09-16,within an hour,100%,100%,f,1.0,Queen Anne,West Queen Anne,Queen Anne,t,House,Private room,3,1.5,1.0,2.0,Real Bed,"{""Cable TV"",Internet,""Wireless Internet"",""Free Parking on Premises"",""Pets live on this property"",Heating,""Family/Kid Friendly"",Dryer,""Smoke Detector"",""First Aid Kit"",Essentials,Shampoo}",,99.0,,$15.00,1,$10.00,1,1125,11,84.0,f,f,moderate,0.71
22,"Welcome to Seattle! Enjoy your stay in a  turn-of-the-century Queen Anne home. Lovely setting in the heart of the city. Cosy up with a cup of coffee in the window seat or enjoy all of the fabulous Seattle restaurants, cafes and shops 1 block away.",2015-10-16,within a day,100%,100%,f,1.0,Queen Anne,West Queen Anne,Queen Anne,t,House,Entire home/apt,8,2.0,4.0,4.0,Real Bed,"{TV,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Safety Card"",""Fire Extinguisher""}",,450.0,,,1,$0.00,4,1125,1,100.0,f,f,flexible,0.86
24,Enjoy Seattle from the ideally located Queen Anne Hill.  Enjoy the quaintness and charm of Queen Anne while having easy access to all around the area. L,2015-05-11,,,,f,1.0,Queen Anne,West Queen Anne,Queen Anne,t,House,Entire home/apt,5,2.5,3.0,3.0,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials}",,600.0,$500.00,$150.00,1,$0.00,3,1125,1,100.0,f,f,moderate,0.18
25,"Our home is very light and full of character and charm.  Great gourmet kitchen and large living room with sunset views of the water.  3 bedrooms, 2.25 bath, large private garden with fountain and plenty of parking.  Located 5 minutes from downtown.",2014-06-12,within a few hours,67%,100%,f,2.0,Queen Anne,West Queen Anne,Queen Anne,t,House,Entire home/apt,8,2.5,3.0,5.0,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}",,450.0,$500.00,$200.00,6,$50.00,4,1125,8,100.0,f,f,strict,1.3
27,Micro camper with queen size bed and seating for two ! (well 70 x 60 ) This camper is small if your over six feet tall this is not the camper for you . Claustrophobic keep looking ! but if you are into seeing how small you can go this is PERFECT ,2012-10-30,within an hour,100%,100%,t,5.0,Queen Anne,West Queen Anne,Queen Anne,t,Camper/RV,Private room,2,1.0,1.0,1.0,Real Bed,"{""Wireless Internet"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Essentials}",,45.0,$150.00,$25.00,1,$0.00,2,7,80,95.0,f,f,strict,4.38
28,"This three bedroom flat is your gorgeous retreat in Seattle. It is located on Queen Anne, a neighborhood that is known as the “best neighborhood to live in."" You will lack nothing in this fully equipped  home, ideal for long stays.",2012-10-07,within an hour,100%,100%,f,5.0,Queen Anne,West Queen Anne,Queen Anne,t,Apartment,Entire home/apt,6,2.0,3.0,3.0,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,300.0,$500.00,$125.00,1,$0.00,2,1125,6,100.0,f,t,moderate,2.47
29,"Designer home situated on Queen Anne Hill overlooking Magnolia.  Enjoy custom furnishings, gourmet kitchen, spa bathroom, and a cozy bedroom.  Easy access to downtown Seattle, Ballard and Fremont.  Whole Foods is just a walk away.  *all building construction is finished.",2013-05-01,within an hour,71%,100%,f,1.0,Queen Anne,West Queen Anne,Queen Anne,t,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",""Wheelchair Accessible"",Kitchen,""Indoor Fireplace"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",Essentials,Shampoo}",,80.0,,$65.00,3,$50.00,2,1125,4,85.0,f,f,strict,0.33
30,"Enjoy your own 1 BR cottage atop Queen Anne hill! Just renovated, this little home is airy and bright, with its own studio/work space/garage below for long-term guests.",2013-02-21,within an hour,98%,100%,t,6.0,Queen Anne,West Queen Anne,Queen Anne,t,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials}",,175.0,,$40.00,1,$0.00,2,365,38,96.0,f,f,strict,1.86
31,"Charming, clean, picturesque home in perfect location for exploring Seattle (1.5 miles to downtown).   This three bedroom dutch colonial is located in the center of historic Queen Anne, near everything.  Seattle Center, pike market, and lake union",2013-03-04,within a few hours,97%,100%,f,9.0,Queen Anne,West Queen Anne,Queen Anne,t,House,Entire home/apt,6,1.5,3.0,3.0,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher""}",,325.0,$500.00,$100.00,6,$60.00,2,1125,68,92.0,f,f,strict,2.18
32,"2 stories private home, open concept living room, floor 2 ceiling windows view Puget Sound & Olympic Mountains. Gourmet kitchen, formal dining room, 2 BR, 3 full bath inc bear claw tub, walk to cafes, restaurants. Private sanctuary steps down hill.",2015-04-11,within a day,60%,100%,f,1.0,Queen Anne,West Queen Anne,Queen Anne,t,House,Entire home/apt,4,3.0,3.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""First Aid Kit"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Laptop Friendly Workspace""}",,175.0,$200.00,$80.00,1,$0.00,4,120,8,88.0,f,f,flexible,1.31
33,"Beautiful Water View, Minutes to Pier, Space Needle, Downtown, Family Friendly. This 1,920 sq ft 4 bedrooms, 3.5 baths with formal living & dining room plus a bonus room will offer you breathtaking water views of Puget Sound and a private backyard.",2015-01-10,within an hour,71%,100%,f,1.0,Queen Anne,West Queen Anne,Queen Anne,t,House,Entire home/apt,7,3.5,4.0,3.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}",,222.0,$500.00,$250.00,7,$75.00,2,1125,5,75.0,f,t,strict,0.99
35,"Vintage 1927 4plex in perfect Queen Anne location. Elliott Bay views! Hardwoods, built-ins, natural light. Queen bed w/ new mattress. Charm & updated amenities: A/C, free Wi-Fi, Roku, Cable TV, HBO, Private WD, Additional hide-a-bed. Very clean!",2015-08-02,within an hour,100%,100%,f,2.0,Queen Anne,West Queen Anne,Queen Anne,t,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo}",,125.0,,$50.00,2,$25.00,2,365,19,95.0,f,t,moderate,4.35
36,*** NEW LISTING - August 2015 *** Relax and revive at this urban 3-bedroom sanctuary centrally located in Seattle's most charming and desirable neighborhood.,2013-05-23,within a day,50%,,f,1.0,Queen Anne,West Queen Anne,Queen Anne,t,House,Entire home/apt,8,3.0,3.0,3.0,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Dog(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}",,348.0,$750.00,$150.00,6,$20.00,3,1125,5,96.0,f,f,strict,0.97
37,"Our century old Upper Queen Anne house is located near beautiful postcard-esc views of the city, and close/easy bus lines. Shared kitchen and bathroom. Three easy-going roommates. And a home recording studio, if you'd like to take a crack at a song!",2014-09-08,a few days or more,31%,100%,f,1.0,Queen Anne,West Queen Anne,Queen Anne,t,House,Private room,1,1.0,1.0,1.0,Futon,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""First Aid Kit"",Essentials}",,45.0,,,1,$0.00,1,1125,7,97.0,f,f,flexible,0.9
38,"Sweeping Elliott Bay views, Vintage 1927 Queen Anne 4plex. Remodeled w/ new tile & refinished hardwoods. Charm & modern amenities. Beautiful bath, spacious bedroom, tons of light. W/D, 50"" smart TV, free WIFI, HBO. Quiet building in great location!",2015-08-02,within an hour,100%,100%,f,2.0,Queen Anne,West Queen Anne,Queen Anne,t,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo}",,150.0,,$50.00,2,$25.00,2,365,2,100.0,f,t,moderate,0.83
39,"I love my little studio! My space might be small, but it's mighty. I have strategically set up my apartment to create a sleeping space, a eating area, and a living room, I even have a patio! Even though I live in a big room, it doesn't feel like it!",2012-04-02,within a few hours,100%,100%,t,1.0,Queen Anne,West Queen Anne,Queen Anne,t,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,80.0,,$20.00,1,$0.00,3,1125,11,98.0,f,f,flexible,1.98
40,Recently remodeled modern daylight basement apartment in Queen Anne. Close to everything and walking distance to tons of shops and restaurants.    ,2014-09-28,within an hour,100%,100%,f,1.0,Queen Anne,West Queen Anne,Queen Anne,t,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,110.0,$100.00,$40.00,2,$15.00,2,1125,71,90.0,f,f,moderate,4.7
41,"Why stay in a hotel costing more, when you can stay, enjoy, luxuriate in a 1909 vintage West Queen Anne cottage restored to its original beauty complete with every amenity you could possibly need. Easy access: downtown,universities,medical,culture .",2013-08-18,within a few hours,100%,100%,f,1.0,Queen Anne,West Queen Anne,Queen Anne,t,House,Entire home/apt,3,1.0,1.0,2.0,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Indoor Fireplace"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo}",,148.0,,$100.00,2,$20.00,3,365,9,91.0,f,f,strict,0.46
42,Our eco friendly modern home has two stunning decks and floor to ceiling windows=tons of light.  It feels like a private urban oasis.  Located on a quiet W. Queen Anne street just a block away from public transportation and popular cafes- perfection!,2012-05-07,,,,f,1.0,Queen Anne,West Queen Anne,Queen Anne,t,House,Entire home/apt,4,1.5,2.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Pets Allowed"",""Hot Tub"",""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",,350.0,$500.00,$100.00,4,$0.00,2,30,41,98.0,f,f,moderate,1.38
43,"Enjoy your own apartment on the top of Queen Anne hill.  Recently renovated, this basement home is airy and bright with lots of space.  Just 2 blocks from QA Ave, 10 min walk to Seattle Center attractions; Uber or bus downtown in 10 minutes.",2014-07-03,within an hour,100%,100%,t,1.0,Queen Anne,West Queen Anne,Queen Anne,t,Apartment,Entire home/apt,3,1.5,1.0,2.0,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",Kitchen,Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",,150.0,,$50.00,1,$0.00,2,1125,18,98.0,f,f,moderate,3.35
44,"This large, remodeled daylight basement space includes a private entrance, private bedroom with Queen bed and closet, a full bathroom and laundry room, mini fridge, massive tv and comfy couch. At the top of Queen Anne, Downtown is a 5 min drive away.",2015-05-27,within a day,50%,100%,f,1.0,Queen Anne,West Queen Anne,Queen Anne,t,House,Private room,5,1.0,1.0,1.0,Real Bed,"{""Cable TV"",""Wireless Internet"",""Free Parking on Premises"",""Hot Tub"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials}",,150.0,,,1,$0.00,1,1125,9,100.0,f,f,flexible,1.99
45,"I love my 3rd floor vintage studio apartment w/ courtyard patio!  It is on lower Queen Anne & a 10 min walk to Seattle Center. Includes elevator, secured entry, hardwood floors, vaulted ceilings, big windows, full bath & kitchen. Small & efficient!",2013-09-24,within a day,50%,100%,f,1.0,Queen Anne,West Queen Anne,Queen Anne,t,Apartment,Entire home/apt,2,1.0,0.0,1.0,Futon,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",,100.0,,,1,$0.00,1,1125,20,92.0,f,f,flexible,2.29
47,"Beautiful craftsman style studio, located in one of the neatest neighborhoods in Seattle.  Just a few blocks from amazing restaurants and shops. The ""Urban Nest"" studio is located above a detached garage.  Private entrance with parking space.",2012-09-07,within an hour,100%,100%,f,1.0,Queen Anne,West Queen Anne,Queen Anne,t,Bungalow,Entire home/apt,2,1.0,0.0,1.0,Real Bed,"{""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Cat(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials}",,110.0,,$50.00,1,$0.00,2,1125,3,100.0,f,f,moderate,1.06
